cycle_number,max_stress,start_stress,stress_change,capacity_start_mAhg,capacity_end_mAhg,charge_current
1,NaN,NaN,NaN,226.829615173085,249.465471917683,-0.448533053441029
2,NaN,NaN,NaN,192.026418304268,209.990916337676,-0.44853115067695
3,-0.840471845915736,-0.0295874356654686,-0.810884410250268,43.4666164355692,177.235770668572,-7.19806896283799
4,-0.534012932037638,0.124838871268087,-0.658851803305725,41.2942662275229,167.409382078744,-7.19815786837015
5,-0.174050582169127,0.344086954075132,-0.51813753624426,35.6483476316803,157.45469188146,-7.19811500052212
6,NaN,NaN,NaN,30.4272951303055,148.612125692917,-7.19812561105428
7,NaN,NaN,NaN,27.6498280285072,27.6498280285072,-7.19807195012119
8,0.433604331304735,0.645744894016552,-0.212140562711816,26.0803691073165,26.1707797237273,-7.19808172275686
9,0.514185811270506,0.667485016318129,-0.153299205047623,24.8727049310548,24.8727049310548,-7.19811789651026
10,0.566838495645745,0.744266664408352,-0.177428168762607,23.7971228755176,23.7971228755176,-7.19812509447245
11,-1.43803068936825,0.912943386470736,-2.35097407583898,136.192559114729,148.108246215336,-0.448612844414976
12,-0.393566537783824,0.0118843401492093,-0.405450877933033,66.2744062582795,139.251519824322,-3.59851646277621
13,NaN,-0.0252968250431804,NaN,65.1908510495413,136.302717763883,-3.59851233949112
14,NaN,NaN,NaN,61.3874523694958,135.107261147273,-3.5985125927321
15,-0.428538264467067,NaN,NaN,59.759004820208,132.963919062463,-3.59850029200356
16,NaN,-0.0525888091325394,NaN,128.888081011581,136.444677293662,-0.359293216295443
17,-0.572490972523723,-0.0807513422804583,-0.491739630243265,58.6710834080873,59.1003944004518,-3.59854244075692
18,-0.587411933696722,-0.0714585525853035,-0.515953381111419,57.0413690384323,57.2487821269727,-3.59848654509859
19,-0.610616140173251,-0.113210609358581,-0.49740553081467,54.8682974101511,55.1444959314615,-3.59850763195976
20,-0.69005322523012,-0.135681984855204,-0.554371240374916,52.6956649980761,53.1667964274107,-3.59853429940745
21,-2.51877199677754,-0.176857787012958,-2.34191420976458,124.878899344659,132.7628157638,-0.359386845849724
22,-0.716881703711065,-0.219472128257424,-0.497409575453641,52.6951825414716,74.5673690741746,-3.59851454085704
23,-0.829684931522745,-0.300687852693442,-0.528997078829303,51.0665651988838,70.0615178410456,-3.59851060726398
24,-0.834178863516473,-0.313629319969962,-0.52054954354651,47.8067647518421,63.7900342935232,-3.59848067443746
25,-2.6307308592461,-0.314529283446303,-2.3162015757998,120.375738689365,127.802009571455,-0.359362133400932
26,-0.511093603383382,-0.37393037907338,-0.137163224310002,16.8257230478892,122.892526127216,-7.19803562769949
27,-0.583726804276208,NaN,NaN,16.5495107803804,121.05156093814,-7.19805923109208
28,NaN,NaN,NaN,15.7618000235499,119.189145622024,-7.19806294019821
29,NaN,NaN,NaN,15.1420243645205,117.544553059953,-7.19808667794346
30,NaN,-0.448272471236781,NaN,111.365285994163,117.283369112392,-0.35934645530456
31,NaN,NaN,NaN,41.829582955584,120.634197820314,-3.59842376551018
32,-0.751092587472053,-0.349774868501991,-0.401317718970062,40.2002232489014,118.068608377008,-3.5984548469863
33,NaN,NaN,NaN,38.0272074940599,115.866568954408,-3.59847471943401
34,NaN,NaN,NaN,35.8541548223874,113.996494500102,-3.59845802793787
35,-2.3886761216593,-0.641546984515946,-1.74712913714335,103.006298005716,108.803050630049,-0.359298553350645
36,NaN,NaN,NaN,11.9534258373295,13.7920208833922,-7.19807540293201
37,0.47497309905551,0.621964420402396,-0.146991321346887,11.9534223658603,13.415032835245,-7.19808041129873
38,0.58175720284037,0.715907859832464,-0.134150656992094,11.9534288150413,13.2383680207886,-7.19807390165069
39,0.691044725272651,0.75347992623321,-0.0624352009605595,10.8667736071045,13.0604288277951,-7.19810695306164
40,0.345975662731546,0.80523615332069,-0.459260490589144,29.8792146332442,105.191093873553,-3.59849830472958
41,NaN,NaN,NaN,29.3356242600107,102.865075201431,-3.59843565329559
42,NaN,NaN,NaN,27.1624185098768,101.403564414695,-3.5984080030003
43,NaN,NaN,NaN,24.9895154443562,100.109786894138,-3.59842209326635
44,1.13532677824026,1.43803820262949,-0.302711424389236,23.3599794822241,98.8379276730976,-3.5984581016231
