cycle_number,max_stress,start_stress,stress_change,capacity_start_mAhg,capacity_end_mAhg,charge_current,c_rate
1,-0.124389802193546,2.8078178955149,-2.93220769770844,285.501997069189,303.228588495335,-0.39911079518641,0.08
2,1.79115746796867,NaN,NaN,251.546400848813,266.05033225722,-0.399056652439015,0.08
3,4.55928873963428,5.44240559407002,-0.883116854435738,45.4520631897637,235.115450505331,-9.59687110307995,2
4,3.71561982948816,4.9275034963337,-1.21188366684555,54.2195077165655,225.26162945786,-9.59689322747027,2
5,NaN,NaN,NaN,51.4810513736681,219.292870942528,-9.59684303385724,2
6,NaN,NaN,NaN,48.5393101070072,48.7309050852816,-9.5968500171637,2
7,NaN,NaN,NaN,41.1848047611569,41.3848418712686,-9.59687412679054,2
8,2.89903024545106,4.72376900851168,-1.82473876306062,33.1917430614477,33.1917430614477,-9.59688169426854,2
9,2.30620113422633,3.83236418643164,-1.52616305220531,29.8245896898786,29.8245896898786,-9.59686539157722,2
10,1.61405028045068,3.01570257630474,-1.40165229585406,27.7983615871105,27.7983615871105,-9.59686024765781,2
11,-0.752730259351222,2.35433542494662,-3.10706568429785,192.411813744978,210.486597617964,-0.959053500170207,0.2
12,NaN,NaN,NaN,100.006159957166,198.423650641416,-4.79776651711014,1
13,2.27709613643295,5.53551049160731,-3.25841435517436,91.9177403725871,190.370912026822,-4.7977713710023,1
14,2.99708010660232,5.51742945940758,-2.52034935280525,86.0348812112329,183.571025120063,-4.79773762570135,1
15,NaN,NaN,NaN,83.0935769337872,83.1305787982251,-4.79776004027398,1
16,NaN,NaN,NaN,72.0638381884203,72.5392419840723,-4.79776793401232,1
17,NaN,NaN,NaN,65.4456618295306,65.6229205949775,-4.79777573747754,1
18,2.85959720311106,5.15815587247725,-2.29855866936619,60.2981799020221,172.694191482404,-4.79774907157139,1
19,3.8781702958904,NaN,NaN,72.0634742973103,168.188208350955,-4.79775510526419,1
20,4.23522349232806,6.10494627396033,-1.86972278163227,69.1222931902148,164.011211239516,-4.7977682972219,1
21,NaN,NaN,NaN,135.070174590096,161.460319210729,-1.9983684104014,0.42
22,3.69077827947967,6.50609930662581,-2.81532102714613,129.556326253526,156.898932431486,-1.99835137488181,0.42
23,4.34978222999465,6.55080763912958,-2.20102540913492,124.042841083477,152.34320525847,-1.99833354890019,0.42
24,-5.33570763482543,-0.0111268908759801,-5.32458074394945,161.406214064549,176.434024005108,-0.399099007357322,0.08
25,-5.0723926687837,0.252607915243229,-5.32500058402693,118.477075843484,134.952048035528,-0.959076101279788,0.2
26,-3.9870042012465,0.438876573018793,-4.42588077426529,112.011978475484,127.243430731342,-0.959111114702367,0.2
27,-1.15797561574685,0.657268121750637,-1.81524373749749,67.6471611637832,116.695814759776,-2.39874821627869,0.5
28,NaN,NaN,NaN,54.7785700090713,109.955275250815,-2.39872867328031,0.5
29,0.272139900603828,0.803084443832524,-0.530944543228696,46.6906771335009,103.865796465998,-2.39873835261058,0.5
30,0.83910419461317,0.849993049196972,-0.0108888545838021,40.0733050419826,40.4754365917421,-2.39875162565213,0.5
31,0.683063893266145,0.807246061628386,-0.124182168362241,36.0292103837085,36.1669750804138,-2.39874783145946,0.5
32,0.535949114641123,1.0100218573585,-0.474072742717374,32.3527663596539,32.5865607256907,-2.39874368728267,0.5
33,0.507622495349307,0.990958041581641,-0.483335546232335,29.7790458460631,30.0466976342904,-2.39874657573284,0.5
34,0.559896050941042,1.1032643495639,-0.54336829862286,27.5733382474216,27.7668652238005,-2.3987736554491,0.5
35,0.0167437983000438,1.1494094783764,-1.13266568007636,69.9720514917387,93.3409782134725,-0.959137141887248,0.2
36,NaN,NaN,NaN,10.5512316689495,79.4933389685634,-4.7978134312713,1
37,NaN,NaN,NaN,9.66420888878586,75.9790930011605,-4.79780338554467,1
38,NaN,NaN,NaN,8.82418619802097,72.6250310878045,-4.79784758507585,1
39,NaN,NaN,NaN,8.00346141074592,8.00346141074592,-4.79783026032284,1
40,NaN,NaN,NaN,7.64285956301834,7.64285956301834,-4.79783286046987,1
41,1.68248326183928,1.74078813317193,-0.0583048713326473,7.45379309425912,7.45379309425912,-4.79782852254235,1
42,1.69055142572676,1.73927831731008,-0.0487268915833257,7.33039006963949,68.4710390590018,-4.79780564053093,1
43,1.8632046688706,1.93326941374205,-0.0700647448714558,6.98978679955399,64.8459260481662,-4.79780077608176,1
44,NaN,NaN,NaN,6.52700768493664,62.3314527429739,-4.79781953930354,1
45,NaN,NaN,NaN,15.9271253755594,61.3342220583257,-1.99841708594623,0.42
46,NaN,NaN,NaN,14.3378806405865,58.5096714917203,-1.9983930362039,0.42
47,NaN,NaN,NaN,12.8640667479811,56.5997955619578,-1.99838013909372,0.42
